Customer,Shopping,Travel,Utilities,Betting,Fashion,Education,Health,Investment,Power,Loan Seeking,Car Sales,Non-Interest,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Customer_Rating,State_Residence,Gender,Marital_Status,Age
jIv2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,HIGH,24,MALE,,41
VPqc,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,MED,24,MALE,,50
wqQ0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,MED,11,MALE,,30
SW74,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,24
JDeB,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,MED,15,MALE,,28
T5rS,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,MED,15,MALE,,36
AfaL,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,HIGH,17,MALE,PARTNER,26
eKZf,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,HIGH,15,FEMALE,PARTNER,25
B0dF,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,HIGH,15,FEMALE,,32
apVT,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,MED,30,MALE,,30
HT6P,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,26
eh4y,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MED,18,MALE,DIVORCED,44
6tIl,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,MED,24,MALE,,34
fYYs,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,HIGH,30,MALE,,56
lMn0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,HIGH,24,FEMALE,,28
2brr,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,LOW,15,MALE,PARTNER,27
EgEK,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,LOW,24,FEMALE,,57
IT3Y,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,HIGH,24,FEMALE,,32
xO8t,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,MED,18,FEMALE,,31
I3Iu,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,MED,15,MALE,,29
paxq,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,HIGH,24,MALE,,30
